codice_prodotto,nome,categoria,tessuto,taglie_disponibili,colori_disponibili,prezzo_vendita,prezzo_showroom,su_shopify,costo_diretto,vestibilita,descrizione_breve,descrizione_tecnica,note,stock_totale
HEE-028,Cortina,giacche,gigiotto+fodera,S|M|L|XL,Bianco|Nero|Cammello,469.99,469.99,si,138.6,,Cappotto donna con fodera tecnica,"Cappotto in felpa gigiotto con fodera tecnica 100% poliestere, apertura sul retro con bottoni e 4 tasche sul davanti a filetto",taglie/colori da inventario,16
HEE-029,Courmayeur,maglieria,alpaca,M|L,Grigio,340,,,,Oversize,Scollo V in alpaca oversize,Vestibilità ampia con scollo profondo. Filato morbido e caldo,costo diretto mancante,4
HEE-030,Danimarca,maglieria,caldo cotone,M|L|XL,Nero|Grigio|Moro,200,,,57.0,Regular,Lupetto uomo in caldo cotone,"Combinazione di lavorazioni (treccia, spiga, costina) su un unico capo. Alta complessità produttiva","costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",13
HEE-031,Denver,accessori,misto lana,TU,Crema,120,,,,,Sciarpa in misto lana con frange (molto lunga),,costo diretto mancante; escluso dall'inventario iniziale (decisione Giulia 2026-08-13): quantita 0,0
HEE-032,Detroit,felpe,gigiotto,M|L|XL,Grigio chiaro|Grigio scuro|Nero|Bianco,260,260.0,no,40.78,Regular,Felpa in gigiotto patchwork con zip,"Patch cuciti manualmente da scarti di produzione. Ogni capo è unico, lavorazione lunga. Sezione aurea.",,15
HEE-033,Dubai,abiti,viscosa,TU,Bianco|Nero|Moro,160,160,,27.0,,Abito lungo con bretelle a rete,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",3
HEE-034,Dublino,maglieria,alpaca,M|L,Grigio,340,,,59.0,Oversize,Girocollo oversize unisex in alpaca,Struttura ampia con rifiniture doppie su collo e polsi per maggiore stabilità,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",10
HEE-035,Finlandia,accessori,alpaca,TU,Piombo|Nero|Grigio|Salmone|Salvia,200,,,30.0,,Sciarpa in alpaca (molto lunga),Lunghezza extra per utilizzo versatile (anche cappuccio). Struttura semplice per valorizzare il filato,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",22
HEE-036,Formentera,bottoms,piquè,S|M|L,Nero|Bianco|Crema|Corda|Azzurro|Salmone,129.99,129.99,no,35.96,Regular,Pantalone palazzo unisex in piqué,,,20
HEE-037,Francoforte,maglieria,caldo cotone,M|L|XL,Nero|Moro|Grigio,229.99,229.99,no,49.0,Regular,Maglia scollo a V in cotone biologico da uomo,,"taglie/colori da inventario; costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",18
HEE-038,Georgia,bottoms,piquè,S|M|L,Corda|Nero,139.99,139.99,no,40.0,Regular,Pantaloni/jeans in piqué,,,13
HEE-039,Ginevra,bottoms,luis,XS|S|M|L,Nero|Piombo|Cioccolato,79.99,79.99,si,28.94,Regular,Pantaloni a zampa in Luis,Fascione alto contenitivo. Inserti laterali modellanti,,12
HEE-040,Helsinki,bottoms,piquè,S|M|L,NERO|CREMA|CORDA,169.99,169.99,,80.3,Ampia,Pantalone unisex balloon con vestibilità ampia,Felpa piqué utilizzata lato dritto. Tasche laterali e posteriori. Coulisse vita e fondo regolabile,taglie/colori da inventario,17
HEE-041,Ibiza,bottoms,piquè,S|M|L,Nero|Crema|Salmone|Azzurro,149.99,149.99,no,34.4,Ampia,Bermuda cargo donna in piqué,Tasche a soffietto per volume. Elastico in vita per comfort,,21
HEE-042,Imperia,giacche,cotone+fodera,XS/S|M/L|XL/XXL,Cammello|Nero|Piombo|Salvia,495,495.0,si,125.0,Oversize,Cappotto oversize con fodera antipioggia e antivento,"Cappotto in felpa 100% cotone e fodera tecnica 100% poliestere, piega sul retro",,14
HEE-043,Islanda,maglieria,alpaca,M,Salvia,220,220.0,no,,Regular fit,Girocollo in alpaca con pietre cucite a mano,,costo diretto mancante,5
HEE-044,Istanbul,abiti,piquè,M,Nero,250,,,,Modellante,Abito ¾ in felpa piqué e maglia,,costo diretto mancante,1
HEE-045,July,bottoms,luis,S|M|L|XL,Nero|Bianco|Cioccolato|Salmone|Crema|Piombo|Cammello|Salvia,119.99,119.99,si,,Ampia,Jogger in Luis con ricamo gamba,Elastico interno sottile. Tasche a taglio vivo,costo diretto mancante,24
HEE-046,Lione,giacche,luis,XS/S|M/L|XL/XXL,Cammello|Cioccolato|Nero|Bianco|Piombo|Salmone|Crema|Salvia,399.99,399.99,no,87.52,Regular,Bomber doubleface in luis,,,24
HEE-047,Liverpool,felpe,gigiotto,S|M|L|XL|XXL,Nero|Piombo|Cammello|Cioccolato|Salmone|Salvia|Crema,119.99,119.99,no,41.64,Regular,Felpa Luis basic girocollo con ricamo schiena,Vestibilità regular con inserti in costina laterali per effetto più slim. Ricamo posteriore in rilievo,,56
HEE-048,Londra,maglieria,misto lana,TU,Crema,310,,,51.0,Regular,Cardigan lungo misto lana con applicazioni,Struttura ampia utilizzabile come cappotto leggero. Applicazioni manuali e lavorazione effetto handmade,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",4
HEE-049,Los Angeles,felpe,gigiotto,M/L|XL/XXL,Nero|Bianco|Cammello,159.99,159.99,no,44.0,Regular,Felpa in gigiotto senza maniche con cappuccio,"Cappuccio doppio, fascia regolabile, costruzione volumetrica",,44
HEE-050,Maiorca,t-shirt,costina,S/M,Crema|Nero,49.99,49.99,no,19.4,Regular,Top in viscosa,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",8
HEE-051,Malaga,t-shirt,piquè,S|M|L,Azzurro|Bianco|Nero|Corda,79.99,79.99,si,28.9,Oversize,Polo in piqué con ricamo da donna,Vestibilità aderente. Spacchetti laterali. Ricamo rilievo,,13
HEE-052,Malesia,maglieria,caldo cotone,M|L|XL,Nero|Grigio|Moro,220,,,60.0,Regular,Lupetto uomo (treccia) in caldo cotone,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",7
HEE-053,Malta,maglieria,caldo cotone,TU,Moro|Nero|Crema,160,160,,30.0,,"Maglione collo largo in cotone biologico, donna",,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",8
HEE-054,Manhattan,felpe,gigiotto,M|L|XL,NERO|BIANCO|MORO T.F,220,220,,58.0,,Felpa zip tasche davanti “marsupio” cappuccio patchwork,,taglie/colori da inventario,4
HEE-055,Marrakech,t-shirt,piquè,M|L|XL,Azzurro|Bianco|Nero,89.99,89.99,si,33.8,Regular,Polo in piqué con ricamo da uomo,Vestibilità ampia. Apertura frontale e ricamo rilievo,,22
HEE-056,Messico,t-shirt,piquè,XS|S|M|L,Bianco|Nero|Crema|Corda|Salmone|Azzurro,149.99,149.99,si,54.8,Modellante,Body con ganci in piqué con spalline,Costruzione a pannelli multipli. Chiusura con ganci frontali. Tessuto piqué stretch contenitivo,,25
HEE-057,Miami,bottoms,piquè,S|M|L,Nero|Corda|Crema,129.99,129.99,no,35.0,Ampia,Gonna cargo in piqué,Tasche a soffietto e struttura simile a Ibiza,,17
HEE-058,Minorca,bottoms,viscosa,S|M|L|XL|XXL,NERO|CREMA,139.99,139.99,si,31.0,,Gonna lunga in viscosa,Linea dritta e fluida. Fascione elasticizzato lavorato a mano,"taglie/colori da inventario; costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",5
HEE-059,Montecarlo,giacche,gigiotto+fodera,M|L|XL,Grigio chiaro|Nero|Cammello,469.99,469.99,si,137.9,,Cappotto uomo con fodera tecnica,"Cappotto in felpa gigiotto con fodera tecnica interna 100% poliestere, martingala sul retro",taglie/colori da inventario,11
HEE-060,Moss,maglieria,alpaca,M|L,,300,,,,regular / unisex,cardigan alpaca,Struttura semplice per valorizzare il filato. Vestibilità morbida e avvolgente,colori mancanti; costo diretto mancante; escluso dall'inventario iniziale (decisione Giulia 2026-08-13): quantita 0,0
HEE-061,Mumbai,felpe,gigiotto,S|M|L,Multicolor,240,240,,,Regular,Felpa Luis patchwork multicolor,Realizzata con scarti di produzione cuciti manualmente. Ogni capo è unico,costo diretto mancante,6
HEE-062,Mykonos,bottoms,piquè,M|L|XL,Nero|Crema|Corda,159.99,159.99,no,36.26,Regular,Bermuda cargo uomo in piqué,Linea pulita ma strutturata. Tessuto piqué per estetica più elegante rispetto alla felpa tradizionale,,14
HEE-063,Nairobi,maglieria,caldo cotone,L|XL,Crema,169.99,169.99,no,37.0,Oversize,Gilet oversize in cotone biologico,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",5
HEE-064,Nevada,maglieria,alpaca,M,Salvia,220,220.0,no,,Regular fit,Scollo a V in alpaca con pietre cucite a mano,,costo diretto mancante,4
HEE-065,New York,bottoms,luis,S|M|L,Nero|Piombo|Salvia,139.99,139.99,no,,Ampia,Pantalone dritto in Luis con tasche davanti,,costo diretto mancante,19
HEE-066,Nizza,felpe,luis,M|L|XL,Piombo|Nero|Bianco|Cammello,149.99,149.99,no,48.0,Regular,"Felpa Luis con cappuccio, ricamo e zip",Inserti in costina per silhouette aderente. Cappuccio oversize,,24
HEE-067,Norvegia,felpe,gigiotto,M,Nero,199.99,199.99,no,52.1,Regular,"Felpa in gigiotto con ricamo schiena, cappuccio e zip",,,4
HEE-068,Osaka,giacche,piquè,XS|S|M|L,Nero|Azzurro|Bianco,330,330.0,si,119.1,Ampia,Blazer lungo,Felpa piqué utilizzata lato dritto. Spalline strutturate e linea ampia,,14
HEE-069,Oslo,maglieria,alpaca,S|M|L,Nero|Grigio|Crema|Salmone|Salvia,330,,,37.7,Regular,Cardigan in alpaca,Cardigan unisex con bottoni,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",26
HEE-070,Oxford,bottoms,luis,S/M|L/XL,Piombo|Nero|Crema,119.99,119.99,si,42.7,Regular,Gonna con pieghe laterali in Luis,Pieghe con inserti in costina. Tasche cargo e laterali. Comfort simile a tuta,,12
HEE-071,Palermo,felpe,piquè,M|L|XL,Crema|Salmone|Azzurro|Nero,189.99,189.99,no,37.95,Oversize,Felpa in piqué con inserti in maglia,,,35
HEE-072,Parigi,abiti,piquè,XS|S|M,Nero|Bianco,155,155,,72.8,Modellante,Abito mini con balza in felpa piqué,,,10
HEE-073,Pechino,giacche,piquè,S|M|L|XL,Nero|Crema|Corda,240,240.0,si,104.6,Ampia,Blazer crop,,prezzo Notion 290€ vs listino 240.0€; nome commerciale = giacca (decisione Giulia 2026-08-13),16
HEE-074,Positano,abiti,viscosa,XS|S|M,Nero|Crema,229.99,229.99,no,36.0,,"Abito lungo aderente ma fluido, pensato per valorizzare la silhouette con eleganza",Realizzato in maglieria di viscosa con calature quasi invisibili che modellano il corpo. Spalline sottili e struttura leggera per una caduta naturale e continua,"prezzo Notion 220€ vs listino 229.99€; taglie/colori da inventario; costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",3
HEE-075,Praga,felpe,gigiotto,TU,Crema|Nero|Piombo|Salmone|Cammello,169.99,169.99,no,,Over,Felpa oversize in Luis con tascone davanti,,costo diretto mancante,11
HEE-076,Rio,maglieria,viscosa,TU,Moro|Nero|Crema,144,144,,28.0,,Maglia in cotone biologico unisex,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",9
HEE-077,Roma,felpe,piquè,M|L|XL,Bianco|Azzurro|Salmone|Crema|Corda|Nero,129.99,129.99,no,41.38,Regular,Felpa in piqué con ricamo in rilievo schiena,,,31
HEE-078,Sal,abiti,lycra,S|M|L,Cioccolato|Nero|Piombo,189.99,189.99,no,,Modellante,Abito in lycra,Tessuto elastico lucido. Costruzione doppia sulla parte superiore per evitare trasparenze. Aperture su fianchi e schiena,costo diretto mancante,18
HEE-079,San Diego,felpe,gigiotto,S/M|L/XL,Nero|Bianco|Cammello,220,220.0,no,43.0,Oversize,Felpa in gigiotto con ricamo schiena e cappuccio,"Felpa gigiotto con cappuccio doppio, tasche invisibili e volumi ampi. Costruzione pensata per mantenere forma",,27
HEE-080,San Francisco,felpe,gigiotto,S|M|L|XL,Nero|Bianco|Cammello,200,200.0,si,45.0,Regular,Felpa in gigiotto con ricamo schiena,Felpa in gigiotto unisex con chiocciola doppia ricamata sul retro,,52
HEE-081,Siberia,felpe,gigiotto,M,Nero,199.99,199.99,no,56.83,Regular,"Felpa in gigiotto con cappuccio, bottoni spalla e zip",,,4
HEE-082,Singapore,maglieria,cotone,M|L,Nero|Crema,129.99,129.99,si,,Regular,Gilet unisex in cotone,Collo riportato con calature. Vestibilità regolare,costo diretto mancante,3
HEE-083,Siviglia,felpe,gigiotto,M|L|XL,Nero|Bianco|Piombo|Cammello,139.99,139.99,no,44.71,Regular,"Felpa Luis con cappuccio, bottoni e ricamo fondo schiena",,,11
HEE-084,Sydney,felpe,gigiotto,L|XL,Nero|Bianco|Cammello,249.99,249.99,no,,Regular,Felpa in gigiotto con scritta a mano schiena,"Felpa gigiotto con pittura a mano. Ogni capo è unico, costruzione semplice per valorizzare il disegno",costo diretto mancante,8
HEE-085,Taormina,maglieria,viscosa,TU,Nero|Bianco|Moro,120,120,,21.0,,Maglia crop a rete,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",9
HEE-086,Tenerife,felpe,piquè,M|L|XL,Crema|Salmone|Azzurro|Bianco|Nero,129.99,129.99,no,37.0,Regular,Felpa basic in piqué con cappuccio e tasca,Uso combinato del lato dritto e rovescio del piqué per creare variazione visiva,,18
HEE-087,Tokyo,felpe,gigiotto,M/L|XL/XXL,Bianco|Nero|Cammello,179.99,179.99,si,57.0,Regular,Felpa in gigiotto con bottoni sulle spalle e cappuccio,Inserti spalla con effetto layering. Cappuccio doppio,,14
HEE-088,Toronto,maglieria,alpaca,M,Grigio,180,,,38.0,Vestibilità ridotta,"Gilet ""mini"" in alpaca con pietre",,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",3
HEE-089,Venezia,abiti,piquè,M,Nero,260,260,,47.0,Modellante,Abito lungo in felpa piqué e maglia,Base in felpa piqué non garzata con inserti in rete. Riprese sartoriali per effetto contenitivo e modellante,,1
HEE-090,Versailles,bottoms,luis,S|M|L|XL,GRIGIO TF.|CIOCO   TF.,129.99,129.99,no,,,Jogger in luis tinto a freddo,,costo diretto mancante; taglie/colori da inventario,18
HEE-091,Vienna,felpe,luis,XS/S|M/L,Nero|Piombo|Bianco|Cammello,99.99,99.99,si,39.0,Slim,Felpa Luis crop top con zip,Riprese seno per effetto modellante. Collo doppio per pulizia interna. Fascione in vita,,19
HEE-092,Virginia,bottoms,lycra,S|M|L,Piombo|Crema|Nero|Cioccolato,49.99,49.99,no,,Regular,Leggings in lycra,,costo diretto mancante,23
HEE-093,Zurigo,maglieria,alpaca,M,Grigio,200,,,47.0,Vestibilità ridotta,"Girocollo ""mini"" con pietre in alpaca",,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",4
